,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,CSP,0.0,0.000,0.934,1.0,0,1,11213,695537,0.0,0.000,0.919,1.0,0,1,28421,695537,0.0,0.000,0.953,1.0,0,1,6267,695537,0.0,0.000,0.907,1.0,0,1,24716,695537
1,SEP,0.0,0.000,0.595,1.0,0,26,11213,695512,0.941,1.443,0.722,1.0,1,26,28420,695512,0.0,0.000,0.674,1.0,0,26,6267,695512,0.0,0.000,0.403,1.0,0,26,24716,695512
2,MLZ,0.0,0.000,0.890,1.0,0,1,11213,695537,0.0,0.000,0.836,1.0,0,1,28421,695537,0.0,0.000,0.924,1.0,0,1,6267,695537,0.0,0.000,0.850,1.0,0,1,24716,695537
3,PCA,0.0,0.000,0.893,1.0,0,1,11213,695537,0.0,0.000,0.870,1.0,0,1,28421,695537,0.0,0.000,0.925,1.0,0,1,6267,695537,0.0,0.000,0.850,1.0,0,1,24716,695537
4,NEP,0.0,0.000,0.872,1.0,0,1,11213,695537,24.473,13.490,0.015,0.176,1,1,28420,695537,0.0,0.000,0.909,1.0,0,1,6267,695537,0.0,0.000,0.823,1.0,0,1,24716,695537
5,AME,0.0,0.000,0.908,1.0,0,1,11213,695537,0.0,0.000,0.812,1.0,0,1,28421,695537,0.0,0.000,0.920,1.0,0,1,6267,695537,0.0,0.000,0.841,1.0,0,1,24716,695537
6,CAF,0.0,0.000,0.813,1.0,0,3,11213,695535,0.0,0.000,0.730,1.0,0,3,28421,695535,0.0,0.000,0.859,1.0,0,3,6267,695535,9.381,8.045,0.025,0.329,1,3,24715,695535
7,KPI,0.0,0.000,0.892,1.0,0,1,11213,695537,0.0,0.000,0.833,1.0,0,1,28421,695537,0.0,0.000,0.931,1.0,0,1,6267,695537,0.0,0.000,0.863,1.0,0,1,24716,695537
8,TPO,0.0,0.000,0.600,1.0,0,30,11213,695508,0.0,0.000,0.494,1.0,0,30,28421,695508,0.0,0.000,0.684,1.0,0,30,6267,695508,0.0,0.000,0.416,1.0,0,30,24716,695508
9,LLP,0.0,0.000,0.645,1.0,0,9,11213,695529,0.0,0.000,0.414,1.0,0,9,28421,695529,0.0,0.000,0.719,1.0,0,9,6267,695529,0.0,0.000,0.472,1.0,0,9,24716,695529
10,CAS,0.0,0.000,0.725,1.0,0,8,11213,695530,0.0,0.000,0.609,1.0,0,8,28421,695530,13.875,17.549,0.000,0.207,1,8,6266,695530,0.0,0.000,0.623,1.0,0,8,24716,695530
11,YCM,0.0,0.000,0.831,1.0,0,4,11213,695534,0.0,0.000,0.725,1.0,0,4,28421,695534,0.0,0.000,0.880,1.0,0,4,6267,695534,0.0,0.000,0.763,1.0,0,4,24716,695534
12,T8L,0.0,0.000,0.933,1.0,0,1,11213,695537,0.0,0.000,0.919,1.0,0,1,28421,695537,0.0,0.000,0.953,1.0,0,1,6267,695537,0.0,0.000,0.906,1.0,0,1,24716,695537
13,CSD,0.0,0.000,0.735,1.0,0,5,11213,695533,0.0,0.000,0.587,1.0,0,5,28421,695533,0.0,0.000,0.799,1.0,0,5,6267,695533,0.0,0.000,0.613,1.0,0,5,24716,695533
14,TPQ,0.0,0.000,0.901,1.0,0,1,11213,695537,0.0,0.000,0.833,1.0,0,1,28421,695537,0.0,0.000,0.930,1.0,0,1,6267,695537,28.142,31.489,0.002,0.19,1,1,24715,695537
15,CME,0.0,0.000,0.629,1.0,0,9,11213,695529,2.719,1.812,0.577,0.66,1,9,28420,695529,0.0,0.000,0.724,1.0,0,9,6267,695529,0.0,0.000,0.480,1.0,0,9,24716,695529
16,SCY,0.0,0.000,0.933,1.0,0,1,11213,695537,0.0,0.000,0.841,1.0,0,1,28421,695537,0.0,0.000,0.922,1.0,0,1,6267,695537,0.0,0.000,0.846,1.0,0,1,24716,695537
17,CSS,0.0,0.000,0.860,1.0,0,2,11213,695536,12.237,10.797,0.017,0.247,1,2,28420,695536,0.0,0.000,0.888,1.0,0,2,6267,695536,0.0,0.000,0.778,1.0,0,2,24716,695536
18,SEC,0.0,0.000,0.873,1.0,0,1,11213,695537,0.0,0.000,0.832,1.0,0,1,28421,695537,0.0,nan,nan,1.0,0,1,6267,695537,0.0,nan,nan,1.0,0,1,24716,695537
19,OCS,0.0,0.000,0.931,1.0,0,1,11213,695537,24.473,81.102,0.006,0.176,1,1,28420,695537,0.0,0.000,0.951,1.0,0,1,6267,695537,0.0,0.000,0.903,1.0,0,1,24716,695537
20,CSX,0.0,0.000,0.812,1.0,0,3,11213,695535,0.0,0.000,0.685,1.0,0,3,28421,695535,0.0,0.000,0.850,1.0,0,3,6267,695535,0.0,0.000,0.704,1.0,0,3,24716,695535
21,DSN,0.0,0.000,0.901,1.0,0,1,11213,695537,0.0,0.000,0.845,1.0,0,1,28421,695537,0.0,0.000,0.930,1.0,0,1,6267,695537,0.0,0.000,0.861,1.0,0,1,24716,695537
22,SCS,0.0,0.000,0.933,1.0,0,1,11213,695537,0.0,0.000,0.918,1.0,0,1,28421,695537,0.0,0.000,0.953,1.0,0,1,6267,695537,0.0,0.000,0.906,1.0,0,1,24716,695537
23,GLY,0.34,0.325,0.000,0.0,274,47749,10939,647789,0.675,0.639,0.000,0.0,1347,47749,27074,647789,0.859,0.824,0.000,0.013,373,47749,5894,647789,0.98,0.940,0.017,1.0,1665,47749,23051,647789
24,SER,0.45,0.443,0.000,0.0,339,45054,10874,650484,0.728,0.714,0.000,0.0,1364,45054,27057,650484,0.655,0.645,0.000,0.0,272,45054,5995,650484,0.798,0.786,0.000,0.0,1294,45054,23422,650484
25,ASP,0.523,0.516,0.000,0.0,340,39214,10873,656324,0.507,0.499,0.000,0.0,835,39214,27586,656324,0.327,0.322,0.000,0.0,120,39214,6147,656324,0.609,0.603,0.000,0.0,868,39214,23848,656324
26,ALA,0.529,0.527,0.000,0.0,405,45976,10808,649562,1.056,1.054,0.029,0.056,1977,45976,26444,649562,0.981,0.981,0.708,1.0,407,45976,5860,649562,0.994,0.993,0.778,1.0,1624,45976,23092,649562
27,PRO,0.652,0.633,0.000,0.0,373,34883,10840,660655,0.693,0.664,0.000,0.0,1003,34883,27418,660655,0.56,0.539,0.000,0.0,180,34883,6087,660655,0.731,0.704,0.000,0.0,918,34883,23798,660655
28,ASN,0.654,0.645,0.000,0.0,308,28802,10905,666736,0.586,0.578,0.000,0.0,702,28802,27719,666736,0.51,0.504,0.000,0.0,135,28802,6132,666736,0.688,0.680,0.000,0.0,713,28802,24003,666736
29,THR,0.677,0.675,0.000,0.0,401,36099,10812,659439,0.974,0.964,0.183,0.679,1439,36099,26982,659439,0.989,0.982,0.747,1.0,322,36099,5945,659439,1.045,1.039,0.187,0.329,1337,36099,23379,659439
30,GLU,0.715,0.714,0.000,0.0,566,48147,10647,647391,0.496,0.494,0.000,0.0,1011,48147,27410,647391,0.384,0.384,0.000,0.0,174,48147,6093,647391,0.52,0.522,0.000,0.0,921,48147,23795,647391
31,LYS,0.733,0.721,0.000,0.0,521,43375,10692,652163,0.543,0.536,0.000,0.0,990,43375,27431,652163,0.376,0.369,0.000,0.0,153,43375,6114,652163,0.585,0.574,0.000,0.0,926,43375,23790,652163
32,GLN,0.774,0.773,0.000,0.0,373,29601,10840,665937,0.646,0.644,0.000,0.0,793,29601,27628,665937,0.477,0.475,0.000,0.0,130,29601,6137,665937,0.628,0.626,0.000,0.0,671,29601,24045,665937
33,CYS,0.818,0.828,0.011,0.013,190,14356,11023,681182,1.536,1.561,0.000,0.0,891,14356,27530,681182,1.532,1.578,0.000,0.0,196,14356,6071,681182,1.452,1.492,0.000,0.0,734,14356,23982,681182
34,HIS,1.176,1.172,0.004,0.01,346,18334,10867,677204,0.897,0.891,0.004,0.016,674,18334,27747,677204,1.098,1.094,0.237,0.555,181,18334,6086,677204,0.952,0.949,0.212,0.578,621,18334,24095,677204
35,ARG,1.308,1.311,0.000,0.0,772,37226,10441,658312,0.668,0.667,0.000,0.0,1035,37226,27386,658312,0.595,0.598,0.000,0.0,204,37226,6063,658312,0.798,0.803,0.000,0.0,1067,37226,23649,658312
36,VAL,1.388,1.399,0.000,0.0,998,45730,10215,649808,1.758,1.770,0.000,0.0,3129,45730,25292,649808,2.303,2.319,0.000,0.0,874,45730,5393,649808,1.78,1.792,0.000,0.0,2751,45730,21965,649808
37,LEU,1.493,1.554,0.000,0.0,1522,66186,9691,629352,1.48,1.559,0.000,0.0,3827,66186,24594,629352,1.568,1.626,0.000,0.0,887,66186,5380,629352,1.24,1.288,0.000,0.0,2852,66186,21864,629352
38,ILE,1.579,1.621,0.000,0.0,888,35934,10325,659604,1.809,1.875,0.000,0.0,2550,35934,25871,659604,1.745,1.805,0.000,0.0,544,35934,5723,659604,1.57,1.621,0.000,0.0,1947,35934,22769,659604
39,MET,1.598,1.649,0.000,0.0,390,15337,10823,680201,1.258,1.301,0.000,0.0,784,15337,27637,680201,1.222,1.248,0.005,0.035,168,15337,6099,680201,1.255,1.286,0.000,0.0,680,15337,24036,680201
40,MSE,1.683,1.537,0.270,0.415,7,258,11206,695280,1.328,1.238,0.443,0.572,14,258,28407,695280,0.86,0.934,0.924,1.0,2,258,6265,695280,1.091,1.183,0.605,1.0,10,258,24706,695280
41,MLY,1.723,2.323,0.403,0.858,1,36,11212,695502,0.0,0.000,0.297,0.745,0,36,28421,695502,0.0,0.000,0.623,1.0,0,36,6267,695502,0.782,1.056,0.957,1.0,1,36,24715,695502
42,PHE,2.096,2.150,0.000,0.0,962,29801,10251,665737,1.759,1.824,0.000,0.0,2075,29801,26346,665737,1.749,1.796,0.000,0.0,455,29801,5812,665737,1.421,1.453,0.000,0.0,1478,29801,23238,665737
43,TYR,2.197,2.228,0.000,0.0,802,23567,10411,671971,1.498,1.527,0.000,0.0,1419,23567,27002,671971,1.671,1.697,0.000,0.0,347,23567,5920,671971,1.417,1.438,0.000,0.0,1170,23567,23546,671971
44,TRP,2.823,2.830,0.000,0.0,432,9736,10781,685802,1.403,1.416,0.000,0.0,555,9736,27866,685802,1.633,1.640,0.000,0.0,142,9736,6125,685802,1.354,1.358,0.000,0.0,466,9736,24250,685802
45,PTR,5.17,9.574,0.008,0.392,1,12,11212,695526,0.0,0.000,0.658,1.0,0,12,28421,695526,0.0,0.000,0.818,1.0,0,12,6267,695526,0.0,0.000,0.645,1.0,0,12,24716,695526
46,CSO,5.64,6.498,0.046,0.381,1,11,11212,695527,0.0,0.000,0.516,1.0,0,11,28421,695527,0.0,0.000,0.761,1.0,0,11,6267,695527,0.0,0.000,0.542,1.0,0,11,24716,695527
47,TYS,31.017,26.546,0.001,0.107,1,2,11212,695536,0.0,0.000,0.733,1.0,0,2,28421,695536,0.0,0.000,0.840,1.0,0,2,6267,695536,0.0,0.000,0.690,1.0,0,2,24716,695536
